Date,Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_diff,ema_20,ema_50,bb_upper,bb_lower,bb_pct,atr,obv_norm,cci,williams_r,stoch_k,stoch_d,vwap,vol_momentum,pv_divergence,vrsi,sentiment,vix,spy_return,earnings_tomorrow
2016-07-29,38.25,38.29999923706055,37.75,37.94049835205078,135542000,66.21878369360925,0.3616859639914196,0.33868017647445775,0.023005787516961862,36.9621982942873,36.37144712035831,37.8721879123409,36.274561965588795,1.042757467634245,0.5689013871124221,2.4949934346322173,187.29653285688408,-19.286544585335506,80.7134554146645,63.98809393308619,37.17723549364862,1.9748089545497591,-0.0009089454691657569,37.29006197241316,0.0,11.869999885559082,0.0,0.0
2016-08-01,37.993499755859375,38.525001525878906,37.85300064086914,38.387001037597656,71564000,70.00622622939323,0.43133632535819544,0.3572114062512053,0.07412491910699015,37.097893793650194,36.45048845044613,38.08095298547517,36.27609695654143,1.1695692327898803,0.5762656369622324,2.4926445571953377,214.30924697767205,-6.606052748352413,93.39394725164759,85.86017017072247,37.277351765299755,1.0327694019479516,-0.0055549200699840096,37.34575642937683,0.0,12.4399995803833,-0.0008290257266134901,0.0
2016-08-02,38.19049835205078,38.2504997253418,37.85100173950195,38.02899932861328,72066000,63.827171047033445,0.4524316422324617,0.3762554534474566,0.0761761887850051,37.18657051126573,36.51239083782524,38.161387527466445,36.358062469481794,0.9265866138403702,0.5733894699003373,1.6400669109668513,153.47844375820728,-23.74351510813175,76.25648489186825,83.45462918606012,37.3458884431926,1.0227175967711721,-6.541992252993239e-05,37.3990267540101,0.0,13.369999885559082,-0.006427926422156345,0.0
2016-08-03,37.85300064086914,37.94449996948242,37.61249923706055,37.731998443603516,71630000,59.16182068399924,0.44011101770602323,0.38902656629916993,0.051084451406853304,37.23851602863123,36.56021858707145,38.20871649356503,36.39588326839786,0.7370314911800272,0.5621830857326514,1.0167114201678615,88.52159500408673,-37.96088156181579,62.03911843818421,77.22985019390002,37.39175510142463,1.0217020760678093,4.724968500081615e-05,37.43806023155001,0.0,12.859999656677246,0.002918161987923937,0.0
2016-08-04,37.685001373291016,38.25,37.51750183105469,38.03850173950195,63564000,62.23004576573668,0.4498930019497891,0.40119985342929376,0.04869314852049533,37.31470514395225,36.61819047540205,38.29577974462691,36.42982030725297,0.8621202583658307,0.57434844881927,1.3517813634097942,107.42230247417784,-23.288636807707547,76.71136319229245,71.66898884078164,37.44456549280523,0.9036563364983957,-0.0009147209114365853,37.50316985918917,0.0,12.420000076293945,0.0010637180618053887,0.0
2016-08-05,38.240501403808594,38.423500061035156,38.15449905395508,38.29899978637695,54088000,64.66022669934671,0.47321043491769643,0.4156019697269743,0.05760846519072216,37.408447490849845,36.684104566028516,38.430342974545965,36.39610699188469,0.9354336520991121,0.5608234397274081,1.5632038007078215,146.89913143017776,-11.83564938749091,88.1643506125091,75.63827741432858,37.485347026010835,0.7769467120393128,-0.001020927499194693,37.5922230553249,0.0,11.390000343322754,0.008145422689476581,0.0
2016-08-08,38.34049987792969,38.349998474121094,38.05099868774414,38.327999114990234,39726000,64.93073893949952,0.4883997042273194,0.4301615166270433,0.05823818760027605,37.496023836006074,36.74857101892898,38.5326481340471,36.35770182628004,0.9059061741772503,0.5421217502023756,1.6571194621239584,120.95501823637822,-10.437209603130173,89.56279039686983,84.81283473389047,37.500302054500544,0.580729193314729,-0.00020105482995925919,37.6499493448399,0.0,11.5,-0.0005959444254856165,0.0
2016-08-09,38.36949920654297,38.630001068115234,38.345001220703125,38.41550064086914,37522000,65.78186112812648,0.5017144990075053,0.4444721131031358,0.05724238590436953,37.58359305551684,36.813940808024675,38.66185698175028,36.32899308538838,0.8943974651648838,0.5249703361254202,1.653381422296969,129.18449775377692,-10.765389931881101,89.2346100681189,88.98725035916596,37.534667094200586,0.5803014251579428,-0.00012665905123795043,37.70240190001393,0.0,11.65999984741211,0.0005959444254856541,0.0
2016-08-10,38.4900016784668,38.60499954223633,38.30950164794922,38.428001403808594,32086000,65.90915533393121,0.5074259859899115,0.45706288768049097,0.05036309830942054,37.6640128982113,36.87723730197698,38.781399477975455,36.33910070513001,0.8553010474819475,0.5085794474226837,1.608232013896504,109.7001063909239,-10.137999165265871,89.86200083473413,89.55313376657428,37.58462104373348,0.516503947908534,-4.7143681168539426e-05,37.74893261310182,0.0,12.050000190734863,-0.0024781827107906605,0.0
2016-08-11,38.49700164794922,38.6875,38.45600128173828,38.5620002746582,40394000,67.3128684715879,0.5168075340240748,0.4690118169492078,0.04779571707486696,37.749535505491956,36.94330643816056,38.90786594882391,36.36283412441827,0.86410163093089,0.49078795804902103,1.6091831325089598,109.82444705735811,-6.121940099926498,93.87805990007351,90.99155693430885,37.63689763581893,0.6541464307287205,0.0009028887662741273,37.80497737600937,0.0,11.680000305175781,0.004630125921600306,0.0
