Date,Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_diff,ema_20,ema_50,bb_upper,bb_lower,bb_pct,atr,obv_norm,cci,williams_r,stoch_k,stoch_d,mom_5d,mom_10d,mom_21d,volatility_10d,volatility_21d,vix_proxy,vwap,vol_momentum,vol_mom_5_20,pv_divergence,vrsi,sentiment,vix,spy_return,earnings_tomorrow
2016-07-29,39.558546365718506,39.86748965197744,39.17620459857705,39.24265670776367,101810000,80.19152819403487,0.7269582991406551,0.5104502142769586,0.21650808486369655,37.05991078330787,36.35685672866964,39.03543058445419,34.46444238612686,1.045335081675624,0.5698493551792335,2.832639898690037,180.91927357918345,-16.483467916224473,83.51653208377552,90.95570021964693,0.042224087721985715,0.07573107212059793,0.13830756973874947,0.18892382606327934,0.15373138048305904,0.15445766218238777,37.108169276214845,3.1170588631506755,1.5473789273227156,0.01284749002035211,37.71676378446469,0.0,11.869999885559082,0.0,0.0
2016-08-01,39.011074854323425,40.04354191939921,38.93024192831115,39.718727111816406,60594000,82.27164838921931,0.846004909661886,0.5775611533539441,0.2684437563079419,37.313131386022974,36.48869478291069,39.48810373714025,34.46150220463221,1.0458805762073378,0.6086672577441499,2.6447829708088153,168.05212600598784,-8.347116435857414,91.65288356414258,89.6406160807076,0.05731878152743186,0.06338306941508765,0.1384591127782422,0.1682759370135964,0.15379573365026583,0.15551412761662325,37.425431650464844,1.7747278334753842,1.709484018545692,-0.004911206397936401,38.00497651641201,0.0,12.4399995803833,-0.0008292726713722589,0.0
2016-08-02,39.539706284418166,39.78716134985954,39.40085450088941,39.678062438964844,39928000,81.48452399095478,0.9263900589919274,0.6473269344815408,0.2790631245103866,37.53836291487458,36.613768024324585,39.80702817520142,34.61482469955444,0.9751616559633185,0.5927843714031484,1.9532208325319855,157.8643051407395,-9.58387799794475,90.41612200205525,88.5285125499911,0.05605504573183895,0.06199815052806534,0.12653288534982599,0.16968367805079204,0.155280882513776,0.1495489566924292,37.6561324437897,1.1500960621710914,1.774157403700194,0.00034917951968053724,38.190789480486885,0.0,13.369999885559082,-0.006428175627925603,0.0
2016-08-03,39.497059741976315,39.649301075841734,39.32597315639033,39.618553161621094,29206000,80.27414619656038,0.9740655463542325,0.7126746568560791,0.26139088949815337,37.73647627170758,36.73160273559112,40.052571945662926,34.81534416151481,0.9171281445203687,0.5755918650582458,1.513690305268044,141.23090462670663,-11.763901823526318,88.23609817647367,90.10170124755716,0.04849271989843951,0.05526498253987855,0.13339667955089585,0.17391968718701745,0.15009033030251534,0.1521189650600492,37.8425839188328,0.8408887404519713,1.7563017709739925,0.00040274714078421275,38.332295640923014,0.0,12.859999656677246,0.0029186588541002083,0.0
2016-08-04,39.58482601604731,39.682022251733926,39.370597037717864,39.53573226928711,21520000,78.52591552451268,0.9937108792712266,0.7688819013391087,0.22482897793211787,37.90783398576277,36.84156859965763,40.19219663476817,35.1219803061498,0.8705253734883637,0.5567228185552326,1.2157304296965576,127.37782813884989,-14.426768078251593,85.5732319217484,88.07515070009242,0.041013651027638875,0.056785933768505714,0.12451849619126176,0.1719834943247256,0.15270403455433348,0.15188750451162936,37.979387073783386,0.6192877040311255,1.4564656859359533,0.0005501354019104365,38.48788418029897,0.0,12.420000076293945,0.0010633876375568372,0.0
2016-08-05,39.677561832508765,40.03014694932973,39.56350286267442,40.01576614379883,36146000,81.09571876943609,1.036071481896343,0.8223198174505556,0.21375166444578741,38.108589429385255,36.96604693472199,40.42635109744369,35.32992140927018,0.9194367471413086,0.5522722372329035,1.357844519230723,127.74190559465043,-0.9493324485452722,99.05066755145472,90.95333254989225,0.019700741511779585,0.06275667507154692,0.14092392287362632,0.1751245658908414,0.15134220497010736,0.15011247050631515,38.18619988449334,1.0309872331686614,1.06900249860238,0.008252117445404501,38.68181795305309,0.0,11.390000343322754,0.008145669706097087,0.0
2016-08-08,39.969647494157314,40.04899352509228,39.75591413636701,39.93146514892578,24426000,79.30094757436135,1.0507280401239143,0.8680014619852274,0.18272657813868687,38.28219664077007,37.08233784508292,40.6264488175299,35.51677551718689,0.8639866723852064,0.533758462339501,1.051393822369122,111.58361201744789,-4.226099632113733,95.77390036788627,93.46593328036313,0.005356114170287363,0.06298190163568185,0.12183390229907598,0.1748409774697595,0.15070802512593687,0.15012623410373124,38.335246477419474,0.7010947249984213,0.8681220902531014,0.0006830758497306586,38.816741638108965,0.0,11.5,-0.0005958624355045181,0.0
2016-08-09,39.894772546612266,40.3331507386035,39.87344914852079,40.04304885864258,32154000,79.93397890788773,1.0591382544377552,0.906228820475733,0.15290943396202217,38.449896851996016,37.198444159340156,40.81803673303906,35.69696532689746,0.8486668486076853,0.5284686857497302,1.1810781367490826,105.46951280773656,-9.46446261386304,90.53553738613697,95.12003510182599,0.00919869563286202,0.0657693746690744,0.11039620251838933,0.17280107365643071,0.14838156153746,0.1501069019205178,38.4891474921797,0.9154398262161877,0.8168294703636535,0.0008840978024898446,38.94563337152996,0.0,11.65999984741211,0.000595862435504615,0.0
2016-08-10,40.02172360936183,40.21165166732481,39.993953251882786,40.09313201904297,18370000,80.22628550404843,1.0576527399356621,0.9365136043677189,0.1211391355679432,38.60639543933382,37.3119613303089,40.94527012551102,35.96154406821456,0.8290158614917298,0.5062708092991797,1.203051617861954,94.31188823484646,-7.977655737380012,92.02234426261998,92.77726067221438,0.011978702389404905,0.06105230214756063,0.10372559504631784,0.17476866938129146,0.1486995558427281,0.14699784168245159,38.59873507388633,0.5245454130116959,0.7573556286549707,-0.0005361728837827636,39.03925402650313,0.0,12.050000190734863,-0.0024781825075947538,0.0
2016-08-11,40.191322750979026,40.36042683781989,39.969655502367985,40.07875442504883,25646000,79.86660100181828,1.0432889220449084,0.957868667903157,0.08542025414175147,38.74662010464001,37.4204630202987,41.0488286373752,36.217018378005655,0.7992317247049869,0.49802084688151693,0.9047961926350211,86.9698388092919,-9.291663012569686,90.70833698743031,91.08873954539575,0.013734971495230397,0.0553119438506493,0.10791271848691908,0.177676172304936,0.14641252046575573,0.14763146514995684,38.71671363992043,0.7279033397951336,0.776222089138783,-0.00014203643572251396,39.14905618277431,0.0,11.680000305175781,0.004629962109731729,0.0
2016-08-12,39.92452464166716,40.02866347512785,39.8526168244554,40.02172088623047,17946000,78.36567355606834,1.0155962021159866,0.9694141747457229,0.04618202737026367,38.86805827431529,37.52247313268818,41.08374811361766,36.5362721805718,0.7664578673919767,0.4786006150037961,0.6827670674505718,70.82862984080947,-11.173055719441678,88.82694428055832,90.51920851020286,0.00014880990683119322,0.0198524830841198,0.09683329879850144,0.08837918117001704,0.14733938698750557,0.14821863843324032,38.85544413998619,0.5199794859313475,0.6869431429987048,0.00042725503638937543,39.24044386208534,0.0,11.550000190734863,-0.0008692673755298143,0.0
2016-08-15,40.02965047580101,40.23544997602432,39.87195346378138,39.9676628112793,18596000,76.8907032736537,0.9780135557127068,0.9711340509391198,0.0068795047735870085,38.97278251593091,37.618362924005474,41.164314435432445,36.71734335570525,0.7309063623983453,0.4703788933780206,0.44583164107303114,68.61337816994,-13.667291331834084,86.33270866816592,88.6226633120515,0.0009064947208552443,0.00626746418036217,0.09560514942471032,0.06876261280904213,0.14783785922717435,0.13136813414291776,38.97316398258806,0.5549752594918198,0.6727508221966229,-4.892271048946445e-05,39.344922549241794,0.0,11.8100004196167,0.002879754616119983,0.0
2016-08-16,39.84566805586255,39.88335855170412,39.52333145937441,39.731117248535156,21158000,70.62652444280654,0.9185532772494938,0.9606178962011945,-0.04206461895170077,39.04500487141703,37.70121603477135,41.183901081596424,36.93469785639186,0.6581044125063406,0.4685183547013681,0.17479974802386053,45.04549702086337,-23.1614975628544,76.8385024371456,83.99938512862327,-0.007789906587996942,0.0013371320651538454,0.06371478854539525,0.0760674102195465,0.13371510935430472,0.13511608147100737,39.07164375805946,0.640299722490384,0.615641616153057,-0.0008153904879974762,39.4597478858962,0.0,12.640000343322754,-0.005171198025054288,0.0
2016-08-17,39.67210521444896,39.95129941040567,39.48862036579849,39.94088363647461,21322000,72.74689643296905,0.8782332464116678,0.9441409662432892,-0.06590771983162147,39.13032665856537,37.78904613679893,41.21692640623305,37.14139077821519,0.686901824391842,0.4681012611232117,0.3123923060141688,46.764582641969795,-29.33489219162494,70.66510780837505,77.94543963789552,-0.0037973681501372036,0.00813584669633416,0.06903265797419622,0.07950113975717704,0.13356486144435478,0.13519496762793373,39.15185575925074,0.6464169968682639,0.6346419119051445,4.092364960597766e-05,39.71647935504422,0.0,12.1899995803833,0.0018790681704237656,0.0
